Id,EventStart,EventStartMilliseconds,PCLocalTime,PCTime,EventEnd,eventType,nClicks,minNumber,bestNumber,maxNumber,colour,WAVFile,comment
462,2018-06-01 01:14:38,928,14:37.9,18:37.8,2018-06-01 01:14:43,DLP         ,13,1,1,2,6,192_20180601_010000_458.wav,short click train                                                               
463,2018-06-01 02:17:51,93,17:51.1,19:13.1,2018-06-01 02:17:55,DLP         ,7,1,1,1,7,192_20180601_010000_458.wav,unsure                                                                          
464,2018-06-01 02:38:50,662,38:49.7,19:13.1,2018-06-01 02:38:58,DLP         ,26,1,2,3,8,192_20180601_010000_458.wav,unsure                                                                          
465,2018-06-01 08:12:48,249,12:48.2,21:25.2,2018-06-01 08:13:32,DLD         ,108,1,2,2,9,192_20180601_010000_458.wav,
466,2018-06-01 08:24:59,235,24:59.2,21:25.2,2018-06-01 08:25:26,DLD         ,130,1,2,4,10,192_20180601_010000_458.wav,
467,2018-06-01 13:15:41,149,15:41.1,12:55.9,2018-06-01 13:20:44,DLD         ,792,5,8,15,11,192_20180601_010000_458.wav,Very hard to separate click trains                                              
468,2018-06-01 19:20:09,612,20:08.6,16:05.7,2018-06-01 19:21:44,DLD         ,161,1,3,5,12,192_20180601_010000_458.wav,Not clear click train                                                           
526,2018-06-01 19:22:20,299,22:20.3,16:05.7,2018-06-01 19:23:39,DLD         ,101,2,3,5,10,192_20180601_010000_458.wav,Not clear click train/Very hard to separate click trains                        
469,2018-06-01 19:23:45,582,23:44.6,16:05.7,2018-06-01 19:24:22,DLD         ,93,2,2,3,1,192_20180601_010000_458.wav,
470,2018-06-01 19:26:26,420,26:26.4,16:05.7,2018-06-01 19:27:25,DLD         ,136,1,1,3,2,192_20180601_010000_458.wav,multiple short click trains
472,2018-06-01 19:37:10,221,37:10.2,16:05.7,2018-06-01 19:37:28,DLP         ,63,1,2,2,4,192_20180601_010000_458.wav,unsure                                                                          
473,2018-06-01 19:42:10,13,42:10.0,16:05.7,2018-06-01 19:42:33,DLD         ,10,1,1,1,5,192_20180601_010000_458.wav,
474,2018-06-01 19:45:22,346,45:22.3,21:09.1,2018-06-01 19:46:17,DLD         ,126,1,2,3,6,192_20180601_010000_458.wav,
475,2018-06-01 20:08:05,661,08:04.7,18:12.6,2018-06-01 20:08:06,DLP         ,7,1,1,1,7,192_20180601_010000_458.wav,whistles                                                                        
476,2018-06-01 20:10:03,564,10:02.6,18:12.6,2018-06-01 20:10:57,DLD         ,66,1,2,4,8,192_20180601_010000_458.wav,multiple short click trains                                                     
477,2018-06-01 20:49:33,909,49:32.9,18:12.6,2018-06-01 20:49:52,DLD         ,45,1,3,3,9,192_20180601_010000_458.wav,
478,2018-06-01 20:55:02,295,55:02.3,23:17.5,2018-06-01 20:55:13,DLD         ,27,1,1,1,10,192_20180601_010000_458.wav,
479,2018-06-01 21:05:06,106,05:06.1,23:17.5,2018-06-01 21:05:25,DLD         ,111,2,3,4,11,192_20180601_010000_458.wav,
480,2018-06-01 21:07:43,681,07:42.7,23:17.5,2018-06-01 21:08:15,DLD         ,26,1,2,3,12,192_20180601_010000_458.wav,short click train                                                               
481,2018-06-01 21:08:45,382,08:45.4,23:17.5,2018-06-01 21:09:10,DLP         ,91,1,1,2,1,192_20180601_010000_458.wav,unsure                                                                          
482,2018-06-01 21:09:08,478,09:08.5,23:17.5,2018-06-01 21:09:35,DLD         ,60,1,1,2,2,192_20180601_010000_458.wav,
483,2018-06-01 21:10:07,571,10:06.6,23:17.5,2018-06-01 21:10:20,DLD         ,89,1,2,3,3,192_20180601_010000_458.wav,
484,2018-06-01 21:10:39,575,10:38.6,23:17.5,2018-06-01 21:10:50,DLD         ,39,1,1,3,4,192_20180601_010000_458.wav,
485,2018-06-01 21:11:03,535,11:02.5,23:17.5,2018-06-01 21:11:11,DLD         ,36,1,1,2,5,192_20180601_010000_458.wav,
486,2018-06-01 21:11:07,329,11:07.3,23:17.5,2018-06-01 21:11:17,DLD         ,17,1,1,2,6,192_20180601_010000_458.wav,multiple short click trains                                                     
487,2018-06-01 21:12:33,164,12:33.2,23:17.5,2018-06-01 21:13:26,DLD         ,95,1,3,4,9,192_20180601_010000_458.wav,multiple short click trains                                                     
488,2018-06-01 21:14:38,868,14:37.9,23:17.5,2018-06-01 21:14:46,DLD         ,19,1,1,2,10,192_20180601_010000_458.wav,
489,2018-06-01 21:15:23,719,15:22.7,23:17.5,2018-06-01 21:15:51,DLD         ,120,2,2,5,11,192_20180601_010000_458.wav,
490,2018-06-01 21:16:42,636,16:41.6,23:17.5,2018-06-01 21:17:43,DLD         ,77,2,3,5,12,192_20180601_010000_458.wav,multiple short click trains                                                     
491,2018-06-01 21:19:00,29,19:00.0,23:17.5,2018-06-01 21:19:06,DLD         ,42,1,2,2,1,192_20180601_010000_458.wav,
492,2018-06-01 21:20:38,733,20:37.7,23:17.5,2018-06-01 21:20:58,DLD         ,105,2,2,3,2,192_20180601_010000_458.wav,
493,2018-06-01 21:21:39,180,21:39.2,23:17.5,2018-06-01 21:21:49,DLD         ,31,1,1,2,3,192_20180601_010000_458.wav,short click trains                                                              
494,2018-06-01 21:21:57,772,21:56.8,23:17.5,2018-06-01 21:22:37,DLD         ,167,2,2,4,4,192_20180601_010000_458.wav,
495,2018-06-01 21:22:59,804,22:58.8,23:17.5,2018-06-01 21:23:14,DLD         ,93,1,2,3,5,192_20180601_010000_458.wav,
496,2018-06-01 21:23:35,745,23:34.7,23:17.5,2018-06-01 21:23:58,DLD         ,120,11,1,3,6,192_20180601_010000_458.wav,
497,2018-06-01 21:23:45,110,23:45.1,23:17.5,2018-06-01 21:24:09,DLD         ,68,1,1,2,7,192_20180601_010000_458.wav,
498,2018-06-01 21:24:16,496,24:16.5,23:17.5,2018-06-01 21:24:33,DLD         ,54,1,1,2,8,192_20180601_010000_458.wav,
499,2018-06-01 21:24:32,445,24:32.4,23:17.5,2018-06-01 21:24:37,DLD         ,12,1,2,3,9,192_20180601_010000_458.wav,short click trains                                                              
500,2018-06-01 21:24:47,725,24:46.7,23:17.5,2018-06-01 21:25:01,DLP         ,24,2,2,3,10,192_20180601_010000_458.wav,multiple short click trains                                                     
501,2018-06-01 21:28:11,91,28:11.1,23:17.5,2018-06-01 21:28:23,DLD         ,68,1,2,3,11,192_20180601_010000_458.wav,
502,2018-06-01 21:30:55,619,30:54.6,23:17.5,2018-06-01 21:31:14,DLP         ,92,2,2,4,12,192_20180601_010000_458.wav,Not clear click train                                                           
503,2018-06-01 21:40:51,160,40:51.2,24:37.6,2018-06-01 21:41:07,DLD         ,60,1,2,3,1,192_20180601_010000_458.wav,
504,2018-06-01 21:44:15,974,44:15.0,24:37.6,2018-06-01 21:44:34,DLD         ,43,1,1,2,2,192_20180601_010000_458.wav,
505,2018-06-01 21:48:37,522,48:36.5,24:37.6,2018-06-01 21:48:59,DLD         ,40,1,1,2,3,192_20180601_010000_458.wav,Multiple short click trains                                                     
506,2018-06-01 21:48:49,634,48:48.6,24:37.6,2018-06-01 21:49:22,DLD         ,92,1,1,2,4,192_20180601_010000_458.wav,
507,2018-06-01 21:51:41,291,51:41.3,24:37.6,2018-06-01 21:52:04,DLD         ,60,1,1,1,5,192_20180601_010000_458.wav,
508,2018-06-01 21:52:17,560,52:16.6,24:37.6,2018-06-01 21:52:26,DLD         ,61,1,2,3,6,192_20180601_010000_458.wav,
509,2018-06-01 21:58:34,496,58:34.5,24:37.6,2018-06-01 21:59:13,DLD         ,68,1,2,4,7,192_20180601_010000_458.wav,Not clear click trains                                                          
510,2018-06-01 22:14:07,899,14:06.9,24:37.6,2018-06-01 22:14:40,DLD         ,58,1,1,2,9,192_20180601_010000_458.wav,Multiple short click trains                                                     
511,2018-06-01 22:16:53,131,16:53.1,24:37.6,2018-06-01 22:18:48,DLP         ,113,2,2,4,10,192_20180601_010000_458.wav,Not clear click trains                                                          
512,2018-06-01 22:34:54,818,34:53.8,27:35.2,2018-06-01 22:35:18,DLD         ,59,2,2,4,11,192_20180601_010000_458.wav,
513,2018-06-01 22:40:16,350,40:16.3,27:37.0,2018-06-01 22:41:40,DLD         ,171,1,2,3,12,192_20180601_010000_458.wav,
514,2018-06-01 22:49:31,955,49:31.0,27:37.0,2018-06-01 22:50:15,DLD         ,105,1,1,3,1,192_20180601_010000_458.wav,
515,2018-06-01 22:50:42,616,50:41.6,27:37.0,2018-06-01 22:52:33,DLP         ,160,1,1,2,2,192_20180601_010000_458.wav,unsure                                                                          
516,2018-06-01 23:02:11,682,02:10.7,27:37.0,2018-06-01 23:02:26,DLP         ,32,1,1,2,3,192_20180601_010000_458.wav,"unsure, short click train                                                       "
517,2018-06-01 23:04:50,633,04:49.6,28:15.2,2018-06-01 23:05:14,DLP         ,55,1,1,2,4,192_20180601_010000_458.wav,unsure                                                                          
518,2018-06-01 23:05:59,640,05:58.6,28:15.2,2018-06-01 23:07:14,DLP         ,98,1,,2,5,192_20180601_010000_458.wav,unsure                                                                          
519,2018-06-01 23:14:59,588,14:58.6,28:15.2,2018-06-01 23:15:09,DLD         ,51,1,2,2,6,192_20180601_010000_458.wav,
520,2018-06-02 02:34:20,982,34:20.0,36:48.6,2018-06-02 02:34:25,DLP         ,24,1,2,3,5,192_20180602_000000_458.wav,unsure                                                                          
521,2018-06-02 02:49:17,910,49:16.9,28:41.7,2018-06-02 02:49:40,DLD         ,132,2,3,5,6,192_20180602_000000_458.wav,
45,2018-06-02 20:51:54,716,51:53.7,29:00.9,2018-06-02 20:52:24,DLP         ,107,,,,9,192_20180602_000000_458.wav,Odontocete sp...?? Check                                                        
46,2018-06-02 22:39:16,426,39:16.4,51:36.6,2018-06-02 22:40:33,DLP         ,286,,,,10,192_20180602_000000_458.wav,
522,2018-06-03 00:22:58,201,22:58.2,29:32.8,2018-06-03 00:23:10,DLD         ,32,1,1,2,7,192_20180603_000000_458.wav,
523,2018-06-03 00:37:29,63,37:29.1,29:32.8,2018-06-03 00:38:03,DLP         ,166,2,2,5,9,192_20180603_000000_458.wav,
47,2018-06-03 01:17:28,93,17:28.1,30:41.8,2018-06-03 01:18:41,DLP         ,350,10,15,18,11,192_20180603_000000_458.wav,
524,2018-06-03 01:20:21,671,20:20.7,30:41.8,2018-06-03 01:20:53,DLD         ,30,2,2,4,10,192_20180603_000000_458.wav,Not clear click trains                                                          
525,2018-06-03 01:20:56,857,20:55.9,30:41.8,2018-06-03 01:21:55,DLP         ,53,1,1,2,12,192_20180603_000000_458.wav,unsure                                                                          
527,2018-06-03 01:27:38,439,27:38.4,29:50.4,2018-06-03 01:27:49,DLD         ,33,2,2,4,6,192_20180603_000000_458.wav,
528,2018-06-03 01:34:20,552,34:19.6,34:19.6,2018-06-03 01:34:32,DLD         ,72,2,3,5,7,192_20180603_000000_458.wav,
529,2018-06-03 01:39:56,237,39:56.2,36:28.0,2018-06-03 01:40:17,DLP         ,53,1,1,3,1,192_20180603_000000_458.wav,whistles                                                                        
530,2018-06-03 02:33:05,994,33:05.0,42:51.5,2018-06-03 02:33:20,DLD         ,56,2,3,4,2,192_20180603_000000_458.wav,unsure                                                                          
